emp_no,first_name,last_name,title
10003,Parto,Bamford,Senior Engineer
10005,Kyoichi,Maliniak,Senior Staff
10007,Tzvetan,Zielinski,Senior Staff
10012,Patricio,Bridgland,Senior Engineer
10014,Berni,Genin,Engineer
10017,Cristinel,Bouloucos,Senior Staff
10024,Suzette,Pettey,Assistant Engineer
10029,Otmar,Herbst,Senior Engineer
10030,Elvis,Demeyer,Senior Engineer
10031,Karsten,Joslin,Senior Engineer
10032,Jeong,Reistad,Senior Engineer
10036,Adamantios,Portugali,Senior Staff
10038,Huan,Lortz,Senior Staff
10039,Alejandro,Brender,Senior Staff
10040,Weiyi,Meriste,Senior Engineer
10041,Uri,Lenart,Senior Staff
10043,Yishay,Tzvieli,Senior Engineer
10045,Moss,Shanbhogue,Engineer
10046,Lucien,Rosenbaum,Senior Staff
10050,Yinghua,Dredge,Senior Staff
10054,Mayumi,Schueller,Senior Staff
10069,Margareta,Bierman,Technique Leader
10070,Reuven,Garigliano,Technique Leader
10071,Hisao,Lipner,Staff
10074,Mokhtar,Bernatsky,Technique Leader
10078,Danel,Mondadori,Engineer
10080,Premal,Baek,Senior Staff
10081,Zhongwei,Rosen,Senior Engineer
10083,Vishv,Zockler,Senior Engineer
10084,Tuval,Kalloufi,Senior Engineer
10091,Amabile,Gomatam,Senior Engineer
10099,Valter,Sullins,Senior Staff
10102,Paraskevi,Luby,Engineer
10107,Dung,Baca,Senior Staff
10109,Mariusz,Prampolini,Senior Engineer
10110,Xuejia,Ullian,Senior Staff
10114,Munir,Demeyer,Senior Staff
10118,Zhonghui,Zyda,Senior Engineer
10120,Armond,Fairtlough,Engineer
10128,Babette,Lamba,Senior Staff
10129,Armond,Peir,Technique Leader
10130,Nishit,Casperson,Senior Engineer
10132,Ayakannu,Skrikant,Staff
10135,Nathan,Monkewich,Engineer
10137,Maren,Hutton,Senior Staff
10138,Perry,Shimshoni,Senior Engineer
10140,Yucel,Auria,Senior Staff
10141,Shahaf,Ishibashi,Senior Staff
10142,Tzvetan,Hettesheimer,Senior Engineer
10145,Akemi,Esposito,Engineer
10148,Douadi,Azumi,Staff
10150,Zhenbing,Perng,Senior Engineer
10151,Itzchak,Lichtner,Senior Staff
10153,Heekeun,Majewski,Assistant Engineer
10154,Abdulah,Thibadeau,Staff
10155,Adas,Nastansky,Senior Staff
10158,Khedija,Mitsuhashi,Senior Engineer
10159,Serif,Buescher,Senior Engineer
10162,Florina,Eugenio,Engineer
10164,Jagoda,Braunmuhl,Senior Engineer
10165,Miyeon,Macedo,Senior Staff
10167,Duangkaew,Rassart,Senior Engineer
10171,Herbert,Trachtenberg,Technique Leader
10172,Shigeu,Matzen,Engineer
10174,Badri,Furudate,Senior Engineer
10176,Brendon,Lenart,Senior Staff
10180,Shaw,Wendorf,Senior Staff
10184,Mihalis,Lowrie,Staff
10185,Duro,Sidhu,Senior Staff
10188,Christ,Muchinsky,Senior Engineer
10191,Zdislav,Nastansky,Senior Engineer
10192,Mohua,Falck,Senior Engineer
10193,Masaru,Cheshire,Engineer
10199,Kazuhisa,Ranta,Staff
10201,Idoia,Kavraki,Senior Engineer
10202,Greger,Lichtner,Senior Engineer
10203,Steen,Escriba,Senior Staff
10206,Alassane,Iwayama,Technique Leader
10207,Girolamo,Anandan,Senior Engineer
10209,Yolla,Ellozy,Senior Staff
10210,Yuping,Alpin,Senior Staff
10212,Divier,Esteva,Senior Engineer
10216,Amstein,Ghemri,Senior Staff
10218,Zhenhua,Magalhaes,Senior Engineer
10220,Kish,Fasbender,Staff
10225,Kellie,Chinen,Staff
10227,Anneli,Kaiser,Technique Leader
10230,Clyde,Vernadat,Senior Staff
10232,Marko,Auria,Senior Staff
10235,Susanta,Roccetti,Senior Engineer
10236,Susumu,Bade,Staff
10239,Nikolaos,Llado,Staff
10241,Ortrud,Murillo,Senior Staff
10243,Wonhee,Pouyioutas,Senior Staff
10248,Frederique,Tempesti,Senior Staff
10250,Serap,Etalle,Senior Engineer
10251,Alair,Rosenbaum,Senior Staff
10254,Shen,Brattka,Senior Staff
10256,Irene,Radhakrishnan,Senior Staff
10257,Aiman,Riexinger,Technique Leader
10258,Basil,Ishibashi,Senior Engineer
10262,Mahendra,Maraist,Staff
10264,Nalini,Kawashimo,Engineer
10265,Ramalingam,Muniz,Senior Engineer
10266,Sukumar,Rassart,Senior Engineer
10267,Shaunak,Cullers,Engineer
10269,Taizo,Oxman,Senior Engineer
10274,Dmitri,Pearson,Engineer
10285,Zhonghui,Preusig,Staff
10288,Selwyn,Perri,Technique Leader
10290,Yongmao,Pleszkun,Senior Engineer
10293,Mihalis,Avouris,Senior Engineer
10297,Narain,Oaver,Senior Engineer
10299,Ipke,Stentiford,Senior Staff
10300,Tadahiko,Ulupinar,Senior Engineer
10307,Nikolaos,Leaver,Engineer
10311,Hsiangchu,Molenkamp,Engineer
10312,Rasiah,Deyuan,Senior Engineer
10315,Maris,Angelopoulos,Senior Engineer
10317,Arie,Birge,Staff
10318,Mototsugu,Beilner,Senior Engineer
10323,Kankanahalli,Hinsberger,Senior Engineer
10324,Bernardo,Rouquie,Engineer
10328,Serenella,Kawashima,Engineer
10329,Remko,Shigei,Technique Leader
10330,Kasturi,Bellmore,Staff
10334,Falguni,Erie,Staff
10337,Jeong,Sadowsky,Assistant Engineer
10339,Teunis,Liedekerke,Senior Engineer
10342,Stella,Hiroyama,Senior Engineer
10344,Uwe,Garnier,Assistant Engineer
10345,Arra,Ratnakar,Senior Engineer
10348,Mahendra,Picco,Technique Leader
10352,Erzsebet,Ohori,Engineer
10359,Heekeun,Sambasivam,Engineer
10360,Irene,Munck,Staff
10366,Morrie,Piazza,Engineer
10367,Hyuckchul,Gini,Senior Staff
10368,Hatim,Koshiba,Assistant Engineer
10369,Qunsheng,Toyoshima,Staff
10370,Clyde,Fandrianto,Senior Staff
10371,Ioana,Kirkerud,Engineer
10373,Hongzue,Heijenga,Engineer
10375,Dante,Kalafatis,Senior Staff
10376,Fai,Bale,Technique Leader
10379,Mikhail,Rosis,Engineer
10380,Alejandro,Kamble,Senior Staff
10384,Feiyu,Luft,Senior Staff
10386,Eishiro,Miyakawa,Senior Engineer
10390,Wanqing,Bratten,Technique Leader
10391,Hongzue,Akaboshi,Engineer
10393,Yagil,DasSarma,Senior Engineer
10396,Sibyl,Rahier,Senior Engineer
10397,Irena,Reutenauer,Technique Leader
10398,Shooichi,Escriba,Senior Staff
10399,Guenter,Marchegay,Staff
10404,Prodip,Rosti,Senior Engineer
10406,Sigeru,Wynblatt,Engineer
10407,Ulf,Siepmann,Senior Staff
10409,Mario,Straney,Engineer
10411,Lidong,Klerer,Senior Staff
10412,Masoud,Fabrizio,Senior Engineer
10415,Mark,Coorg,Senior Engineer
10416,Uli,Keustermans,Senior Staff
10421,Divine,Marzano,Senior Staff
10423,Dante,Cronin,Staff
10424,Babette,Straney,Senior Engineer
10426,Arunas,Luce,Technique Leader
10427,Khosrow,Sudbeck,Senior Staff
10428,Cathie,Brlek,Senior Staff
10430,Ferdinand,Chenney,Senior Engineer
10435,Marsha,Tagansky,Engineer
10437,Narain,Reeker,Engineer
10439,Jolita,Jarecki,Senior Engineer
10440,Akeel,Narahara,Technique Leader
10441,Adel,Perfilyeva,Senior Engineer
10444,Kazuhira,Rosis,Staff
10445,Junichi,Kavanagh,Senior Engineer
10446,Ebru,Chepyzhov,Engineer
10449,Aleksandar,Sudkamp,Senior Staff
10450,Khun,Harbusch,Engineer
10459,Ennio,Trogemann,Staff
10461,Gal,Karcich,Senior Staff
10462,Sumali,Schlenzig,Senior Engineer
10468,Yoshimitsu,Shobatake,Senior Staff
10470,Peternela,Iwayama,Senior Engineer
10478,Maik,Ushiama,Senior Staff
10479,Duro,Coney,Senior Engineer
10481,Yongmao,Pintelas,Senior Engineer
10483,Zhiwei,Anick,Engineer
10487,Perla,Middleton,Senior Engineer
10488,Mihalis,Heering,Senior Engineer
10492,Lobel,Kumaresan,Senior Engineer
10500,Vojin,Narwekar,Engineer
10502,Yonghoan,Marshall,Technique Leader
10506,Kazuhisa,Kroll,Senior Engineer
10510,Keung,Slobodova,Senior Staff
10512,Udi,Gihr,Senior Staff
10513,Yuichiro,Schicker,Senior Staff
10516,Xiadong,Luga,Senior Engineer
10521,Kwangsub,Setia,Senior Staff
10522,Marke,Cesareni,Senior Staff
10523,Malu,Skafidas,Senior Engineer
10524,Shigehiro,Cincotta,Senior Engineer
10530,Boriana,Coors,Senior Engineer
10532,Mary,Wossner,Senior Staff
10539,Yucel,Reinhard,Senior Staff
10542,Yannis,Couchot,Senior Engineer
10546,Nechama,Schapiro,Senior Staff
10549,Beshir,Kisuki,Senior Engineer
10550,Manton,Leuchs,Senior Engineer
10554,Dines,Gerlach,Senior Engineer
10557,Sashi,Karlin,Senior Engineer
10559,Arumugam,Comellas,Staff
